RadDecay File: Nuclides.Rec
Symbol, Name, Atomic Num,  Atomic Mass, Weight, Half Life, Units, Daugh 1, Branch1, Daugh 2, Branch2
Ac-225  	Actinium	89	225	227.028	1,0000E+1	D	Fr-221  	1.0000
Ac-227  	Actinium	89	227	227.028	2,1773E+1	Y	Fr-223  	0.0138	Th-227  	0.9862
Ac-228  	Actinium	89	228	227.028	6,1300E+0	H	Th-228  	1.0000
Ag-106m 	Silver	47	106	107.868	8,4600E+0	D
Ag-108  	Silver	47	108	107.868	2,3700E+0	M
Ag-108m 	Silver	47	108	107.868	1,2700E+2	Y	Ag-108  	0.0930
Ag-109m 	Silver	47	109	107.868	3,9600E+1	S
Ag-110  	Silver	47	110	107.868	2,4570E+1	S
Ag-110m 	Silver	47	110	107.868	2,4985E+2	D	Ag-110  	0.0133
Ag-111  	Silver	47	111	107.868	7,4600E+0	D
Al-26   	Aluminium	13	26	26.982	7,2000E+5	Y
Al-28   	Aluminium	13	28	26.982	2,2400E+0	M
Am-241  	Americium	95	241	243.000	4,3220E+2	Y	Np-237  	1.0000
Am-242  	Americium	95	242	243.000	1,6020E+1	H	Pu-242  	0.1730	Cm-242  	0.8270
Am-242m 	Americium	95	242	243.000	1,5200E+2	Y	Np-238  	0.0048	Am-242  	0.9952
Am-243  	Americium	95	243	243.000	7,3800E+3	Y	Np-239  	1.0000
Am-244  	Americium	95	244	243.000	1,0100E+1	H	Cm-244  	1.0000
Am-245  	Americium	95	245	243.000	1,2240E+2	M	Cm-245  	1.0000
Am-246  	Americium	95	246	243.000	2,5000E+1	M	Cm-246  	1.0000
Ar-37   	Argon	18	37	39.948	3,5020E+1	D
Ar-39   	Argon	18	39	39.948	2,6900E+2	Y
Ar-41   	Argon	18	41	39.948	1,8270E+0	H
As-72   	Arsenic	33	72	74.922	2,6000E+1	H
As-73   	Arsenic	33	73	74.922	8,0300E+1	D
As-74   	Arsenic	33	74	74.922	1,7770E+1	D
As-76   	Arsenic	33	76	74.922	2,6320E+1	H
As-77   	Arsenic	33	77	74.922	3,8800E+1	H
At-211  	Astatine	85	211	204.000	7,2140E+0	H	Bi-207  	0.4170	Po-211  	0.5830
At-217  	Astatine	85	217	204.000	3,2300E-2	S	Bi-213  	1.0000
Au-194  	Gold	79	194	196.967	3,9500E+1	H
Au-195  	Gold	79	195	196.967	1,8300E+2	D
Au-195m 	Gold	79	195	196.967	3,0600E+1	S	Au-195  	1.0000
Au-196  	Gold	79	196	196.967	6,1830E+0	D
Au-198  	Gold	79	198	196.967	2,6960E+0	D
Au-199  	Gold	79	199	196.967	3,1390E+0	D
Ba-131  	Barium	56	131	137.330	1,1800E+1	D	Cs-131  	1.0000
Ba-133  	Barium	56	133	137.330	1,0500E+1	Y
Ba-133m 	Barium	56	133	137.330	3,8900E+1	H	Ba-133  	0.9999
Ba-135m 	Barium	56	135	137.330	2,8700E+1	H
Ba-137m 	Barium	56	137	137.330	2,5520E+0	M
Ba-139  	Barium	56	139	137.330	8,3100E+1	M
Ba-140  	Barium	56	140	137.330	1,2789E+1	D	La-140  	1.0000
Ba-141  	Barium	56	141	137.330	1,8270E+1	M	La-141  	1.0000
Ba-142  	Barium	56	142	137.330	1,0700E+1	M	La-142  	1.0000
Be-7    	Beryllium	4	7	9.012	5,3440E+1	D
Be-10   	Beryllium	4	10	9.012	1,6000E+6	Y
Bi-206  	Bismuth	83	206	208.980	6,2430E+0	D
Bi-207  	Bismuth	83	207	208.980	3,3400E+1	Y
Bi-208  	Bismuth	83	208	208.980	3,6800E+5	Y
Bi-210  	Bismuth	83	210	208.980	5,0130E+0	D	Po-210  	1.0000
Bi-211  	Bismuth	83	211	208.980	2,1300E+0	M	Tl-207  	0.9973	Po-211  	0.0027
Bi-212  	Bismuth	83	212	208.980	6,0550E+1	M	Tl-208  	0.3593	Po-212  	0.6407
Bi-213  	Bismuth	83	213	208.980	4,5650E+1	M	Tl-209  	0.0216	Po-213  	0.9784
Bi-214  	Bismuth	83	214	208.980	1,9900E+1	M	Po-214  	0.9998
Bk-249  	Berkelium	97	249	247.000	3,2000E+2	D	Cf-249  	1.0000
Bk-250  	Berkelium	97	250	247.000	3,2220E+0	H	Cf-250  	1.0000
Bk-251  	Berkelium	97	251	247.000	5,7000E+1	M	Cf-251  	1.0000
Br-77   	Bromine	35	77	79.904	5,7040E+1	H
Br-80   	Bromine	35	80	79.904	1,7400E+1	M
Br-80m  	Bromine	35	80	79.904	4,4200E+0	H	Br-80   	1.0000
Br-82   	Bromine	35	82	79.904	3,5300E+1	H
Br-83   	Bromine	35	83	79.904	2,3900E+0	H	Kr-83m  	0.9997
Br-84   	Bromine	35	84	79.904	3,1800E+1	M
Br-85   	Bromine	35	85	79.904	1,7200E+2	S	Kr-85   	0.0016	Kr-85m  	0.9984
C-11    	Carbon	6	11	12.011	2,0480E+1	M
C-14    	Carbon	6	14	12.011	5,7300E+3	Y
C-15    	Carbon	6	15	12.011	2,4490E+0	S
Ca-41   	Calcium	20	41	40.080	1,0300E+5	Y
Ca-45   	Calcium	20	45	40.080	1,6270E+2	D
Ca-47   	Calcium	20	47	40.080	4,5360E+0	D	Sc-47   	1.0000
Ca-49   	Calcium	20	49	40.080	8,7190E+0	M	Sc-49   	1.0000
Cd-109  	Cadmium	48	109	112.410	4,6400E+2	D	Ag-109m 	1.0000
Cd-111m 	Cadmium	48	111	112.410	4,8700E+1	M
Cd-113  	Cadmium	48	113	112.410	9,3000E+15	Y
Cd-113m 	Cadmium	48	113	112.410	1,3700E+1	Y
Cd-115  	Cadmium	48	115	112.410	5,3460E+1	H	In-115m 	1.0000
Cd-115m 	Cadmium	48	115	112.410	4,4600E+1	D	In-115  	0.9999
Cd-117  	Cadmium	48	117	112.410	2,4900E+0	H	In-117  	0.0830	In-117m 	0.9170
Cd-117m 	Cadmium	48	117	112.410	3,3600E+0	H	In-117  	0.9850	In-117m 	0.0150
Ce-139  	Cerium	58	139	140.120	1,3766E+2	D
Ce-141  	Cerium	58	141	140.120	3,2500E+1	D
Ce-143  	Cerium	58	143	140.120	3,3000E+1	H	Pr-143  	1.0000
Ce-144  	Cerium	58	144	140.120	2,8430E+2	D	Pr-144  	0.9857	Pr-144m 	0.0143
Cf-248  	Californium	98	248	251.000	3,3350E+2	D	Cm-244  	1.0000
Cf-249  	Californium	98	249	251.000	3,5060E+2	Y	Cm-245  	1.0000
Cf-250  	Californium	98	250	251.000	1,3080E+1	Y	Cm-246  	0.9992
Cf-251  	Californium	98	251	251.000	9,0000E+2	Y	Cm-247  	1.0000
Cf-252  	Californium	98	252	251.000	2,6390E+0	Y	Cm-248  	0.9691
Cf-253  	Californium	98	253	251.000	1,7810E+1	D	Cm-249  	0.0031	Es-253  	0.9969
Cf-254  	Californium	98	254	251.000	6,0500E+1	D	Cm-250  	0.0031
Cl-36   	Chlorine	17	36	35.453	3,0100E+5	Y
Cl-38   	Chlorine	17	38	35.453	3,7210E+1	M
Cm-242  	Curium	96	242	247.000	1,6320E+2	D	Pu-238  	1.0000
Cm-243  	Curium	96	243	247.000	2,8500E+1	Y	Pu-239  	0.9976	Am-243  	0.0024
Cm-244  	Curium	96	244	247.000	1,8110E+1	Y	Pu-240  	1.0000
Cm-245  	Curium	96	245	247.000	8,5000E+3	Y	Pu-241  	1.0000
Cm-246  	Curium	96	246	247.000	4,7500E+3	Y	Pu-242  	0.9997
Cm-247  	Curium	96	247	247.000	1,5600E+7	Y	Pu-243  	1.0000
Cm-248  	Curium	96	248	247.000	3,3900E+5	Y	Pu-244  	0.9174
Cm-249  	Curium	96	249	247.000	6,4150E+1	M	Bk-249  	1.0000
Cm-250  	Curium	96	250	247.000	6,9000E+3	Y	Pu-246  	0.2500	Bk-250  	0.1400
Co-56   	Cobalt	27	56	58.933	7,8760E+1	D
Co-57   	Cobalt	27	57	58.933	2,7090E+2	D
Co-58   	Cobalt	27	58	58.933	7,0800E+1	D
Co-58m  	Cobalt	27	58	58.933	9,1500E+0	H	Co-58   	1.0000
Co-60   	Cobalt	27	60	58.933	5,2710E+0	Y
Co-60m  	Cobalt	27	60	58.933	1,0470E+1	M	Co-60   	0.9976
Co-61   	Cobalt	27	61	58.933	1,6500E+0	H
Cr-49   	Chromium	24	49	51.996	4,2090E+1	M	V-49    	1.0000
Cr-51   	Chromium	24	51	51.996	2,7704E+1	D
Cs-126  	Cesium	55	126	132.905	1,6400E+0	M
Cs-129  	Cesium	55	129	132.905	3,2060E+1	H
Cs-131  	Cesium	55	131	132.905	9,6880E+0	D
Cs-132  	Cesium	55	132	132.905	6,4750E+0	D
Cs-134  	Cesium	55	134	132.905	2,0620E+0	Y
Cs-134m 	Cesium	55	134	132.905	2,9000E+0	H	Cs-134  	1.0000
Cs-135  	Cesium	55	135	132.905	2,3000E+6	Y
Cs-136  	Cesium	55	136	132.905	1,3160E+1	D
Cs-137  	Cesium	55	137	132.905	3,0170E+1	Y	Ba-137m 	0.9460
Cs-138  	Cesium	55	138	132.905	3,2200E+1	M
Cs-139  	Cesium	55	139	132.905	9,4000E+0	M	Ba-139  	1.0000
Cu-61   	Copper	29	61	63.546	3,4080E+0	H
Cu-62   	Copper	29	62	63.546	9,7400E+0	M
Cu-64   	Copper	29	64	63.546	1,2701E+1	H
Cu-67   	Copper	29	67	63.546	6,1880E+1	H
Dy-157  	Dysprosium	66	157	162.500	8,0600E+0	H	Tb-157  	1.0000
Dy-165  	Dysprosium	66	165	162.500	2,3340E+0	H
Dy-166  	Dysprosium	66	166	162.500	8,1600E+1	H	Ho-166  	1.0000
Er-169  	Erbium	68	169	167.260	9,4000E+0	D
Er-171  	Erbium	68	171	167.260	7,5200E+0	H	Tm-171  	1.0000
Es-253  	Einsteinium	99	253	252.000	2,0467E+1	D	Bk-249  	1.0000
Es-254  	Einsteinium	99	254	252.000	2,7570E+2	D	Bk-250  	1.0000
Es-254m 	Einsteinium	99	254	252.000	3,9300E+1	H	Bk-250  	0.0033	Fm-254  	0.9959
Es-255  	Einsteinium	99	255	252.000	3,9800E+1	D	Bk-251  	0.0800	Fm-255  	0.9200
Eu-152  	Europium	63	152	151.960	1,3600E+1	Y	Gd-152  	0.2780
Eu-152m 	Europium	63	152	151.960	9,3200E+0	H	Gd-152  	0.7100
Eu-154  	Europium	63	154	151.960	8,8000E+0	Y
Eu-155  	Europium	63	155	151.960	4,9600E+0	Y
Eu-156  	Europium	63	156	151.960	1,5190E+1	D
F-18    	Fluorine	9	18	18.998	1,0974E+2	M
Fe-52   	Iron	26	52	55.887	8,2750E+0	H	Mn-52m  	1.0000
Fe-55   	Iron	26	55	55.887	2,7000E+0	Y
Fe-59   	Iron	26	59	55.887	4,4630E+1	D
